web-scraper-order,web-scraper-start-url,IATA,ICAO,Airline,Call sign,Country_Region,Comments
"1733246192-1","https://en.wikipedia.org/wiki/List_of_airline_codes","PR","BOI","2GO","ABAIR","Philippines",""
"1733246192-2","https://en.wikipedia.org/wiki/List_of_airline_codes","","EVY","34 Squadron, Royal Australian Air Force","Multiple","",""
"1733246192-3","https://en.wikipedia.org/wiki/List_of_airline_codes","","GNL","135 Airways","GENERAL","United States",""
"1733246192-4","https://en.wikipedia.org/wiki/List_of_airline_codes","1A","n/a","Amadeus IT Group S.A.","n/a","Global","GDS and airline hosting system (CRS/PSS)"
"1733246192-5","https://en.wikipedia.org/wiki/List_of_airline_codes","1B","n/a","Sabre travel network Asia-Pacific (ex-Abacus)","n/a","APAC","Regional distribution"
"1733246192-6","https://en.wikipedia.org/wiki/List_of_airline_codes","1E","n/a","Travelsky","n/a","China","Local distribution system and hosting system (CRS/PSS)"
"1733246192-7","https://en.wikipedia.org/wiki/List_of_airline_codes","1F","n/a","Infini travel information, Inc.","n/a","Japan","Local distribution system (CRS)"
"1733246192-8","https://en.wikipedia.org/wiki/List_of_airline_codes","1G","n/a","Travelport (Galileo core)","n/a","Global","GDS (CRS)"
"1733246192-9","https://en.wikipedia.org/wiki/List_of_airline_codes","1H","n/a","Sirena travel","n/a","Russia","Local distribution system (CRS) and PSS"
"1733246192-10","https://en.wikipedia.org/wiki/List_of_airline_codes","1J","n/a","Axess international network, Inc.","n/a","Japan","Local distribution system (CRS)"
"1733246192-11","https://en.wikipedia.org/wiki/List_of_airline_codes","1K","n/a","AIRKIOSK","n/a","Global","Local distribution system (CRS) and PSS"
"1733246192-12","https://en.wikipedia.org/wiki/List_of_airline_codes","1M","n/a","Sirin","n/a","Russia","Local distribution system (CRS) and PSS"
"1733246192-13","https://en.wikipedia.org/wiki/List_of_airline_codes","1P","n/a","Travelport (Worldspan core)","n/a","Global","GDS (CRS)"
"1733246192-14","https://en.wikipedia.org/wiki/List_of_airline_codes","1S","n/a","Sabre travel network","n/a","Global","GDS and airline hosting system (CRS/PSS)"
"1733246192-15","https://en.wikipedia.org/wiki/List_of_airline_codes","1T","n/a","Hitit Computer Services","n/a","Turkey","Computer reservation system"
"1733246192-16","https://en.wikipedia.org/wiki/List_of_airline_codes","1U","n/a","Google/ITA","n/a","United States","Airline IT provider"
"1733246192-17","https://en.wikipedia.org/wiki/List_of_airline_codes","2T","TBS","Timbis Air","TIMBIS","Kenya",""
"1733246192-18","https://en.wikipedia.org/wiki/List_of_airline_codes","","WYT","2 Sqn No 1 Elementary Flying Training School","WYTON","United Kingdom","Royal Air Force"
"1733246192-19","https://en.wikipedia.org/wiki/List_of_airline_codes","","TFU","213th Flight Unit","THJY","Russia","State Airline"
"1733246192-20","https://en.wikipedia.org/wiki/List_of_airline_codes","","CHD","223rd Flight Unit","CHKALOVSK-AVIA","Russia","State Airline"
"1733246192-21","https://en.wikipedia.org/wiki/List_of_airline_codes","","TTF","224th Flight Unit","CARGO UNIT","Russia","State Airline"
"1733246192-22","https://en.wikipedia.org/wiki/List_of_airline_codes","","TWF","247 Jet Ltd","CLOUD RUNNER","United Kingdom",""
"1733246192-23","https://en.wikipedia.org/wiki/List_of_airline_codes","","SEC","3D Aviation","SECUREX","United States",""
"1733246192-24","https://en.wikipedia.org/wiki/List_of_airline_codes","Q5","MLA","40-Mile Air","MILE-AIR","United States",""
"1733246192-25","https://en.wikipedia.org/wiki/List_of_airline_codes","","QRT","4D Air","QUARTET","Thailand","Defunct"
"1733246192-26","https://en.wikipedia.org/wiki/List_of_airline_codes","","PIU","43 Air School","PRIMA","South Africa",""
"1733246192-27","https://en.wikipedia.org/wiki/List_of_airline_codes","4D","ASD","Air Sinai","AIR SINAI","Egypt","Defunct"
"1733246192-28","https://en.wikipedia.org/wiki/List_of_airline_codes","4R","SEK","Star East Airline [de; fa; it; pl]","EAST RIDER","Romania",""
"1733246192-29","https://en.wikipedia.org/wiki/List_of_airline_codes","4O","AIJ","Interjet","ABC AEROLINEAS","Mexico","Defunct"
"1733246192-30","https://en.wikipedia.org/wiki/List_of_airline_codes","5W","WAZ","Wizz Air Abu Dhabi","WIZZ SKY","United Arab Emirates",""
"1733246192-31","https://en.wikipedia.org/wiki/List_of_airline_codes","7B","UBE","Bees Airline","FLOWER BEE","Ukraine","Defunct, AOC revoked due to not having any aircraft."
"1733246192-32","https://en.wikipedia.org/wiki/List_of_airline_codes","AQ","JYH","9 Air","TRANS JADE","China",""
"1733246192-33","https://en.wikipedia.org/wiki/List_of_airline_codes","","BRO","2Excel Aviation","BROADSWORD","United Kingdom",""
"1733246192-34","https://en.wikipedia.org/wiki/List_of_airline_codes","","GBT","A-Jet Aviation Aircraft Management","GLOBETROTTER","Austria",""
"1733246192-35","https://en.wikipedia.org/wiki/List_of_airline_codes","","AJR","A-Jet Aviation Company","JET MONGOLIA","Mongolia",""
"1733246192-36","https://en.wikipedia.org/wiki/List_of_airline_codes","","SFM","A-Safar Air Services","AIR SAFAR","Nigeria",""
"1733246192-37","https://en.wikipedia.org/wiki/List_of_airline_codes","","AJJ","A2 Jet Leasing","ATLANTIC JET","United States",""
"1733246192-38","https://en.wikipedia.org/wiki/List_of_airline_codes","","XXV","AASANA","","Bolivia",""
"1733246192-39","https://en.wikipedia.org/wiki/List_of_airline_codes","","BBE","Ababeel Aviation","BABEL AIR","Sudan",""
"1733246192-40","https://en.wikipedia.org/wiki/List_of_airline_codes","1B","","Abacus International","","Singapore","Computer reservation system"
"1733246192-41","https://en.wikipedia.org/wiki/List_of_airline_codes","BJ","ABJ","Abaeté Linhas Aéreas","ABAETE","Brazil","defunct"
"1733246192-42","https://en.wikipedia.org/wiki/List_of_airline_codes","","NKP","Abakan Air","ABAKAN AIR","Russia","2014[1]"
"1733246192-43","https://en.wikipedia.org/wiki/List_of_airline_codes","RL","ABG","Abakan-Avia","ROYAL FLIGHT","Russia",""
"1733246192-44","https://en.wikipedia.org/wiki/List_of_airline_codes","","ABE","Aban Air","ABAN","Iran","Former IATA code: K5"
"1733246192-45","https://en.wikipedia.org/wiki/List_of_airline_codes","","MRP","Abas","ABAS","Czech Republic",""
"1733246192-46","https://en.wikipedia.org/wiki/List_of_airline_codes","","AHU","ABC Air Hungary","ABC HUNGARY","Hungary","defunct"
"1733246192-47","https://en.wikipedia.org/wiki/List_of_airline_codes","","FTY","ABC Bedarfsflug","FLY TYROL","Austria",""
"1733246192-48","https://en.wikipedia.org/wiki/List_of_airline_codes","W9","AAB","Abelag Aviation","ABG","Belgium","defunct"
"1733246192-49","https://en.wikipedia.org/wiki/List_of_airline_codes","","BDV","Aberdair Aviation","ABERDAV","Kenya",""
"1733246192-50","https://en.wikipedia.org/wiki/List_of_airline_codes","","ROH","Aberdair Aviation Ghana","","Ghana",""
"1733246192-51","https://en.wikipedia.org/wiki/List_of_airline_codes","","ADJ","Abidjan Air Cargo","ABICAR","Côte d'Ivoire","defunct"
"1733246192-52","https://en.wikipedia.org/wiki/List_of_airline_codes","","ABP","ABS Jets","BAIR","Czech Republic","Named changed from Aba Air"
"1733246192-53","https://en.wikipedia.org/wiki/List_of_airline_codes","M3","TUS","ABSA Cargo","Turismo","Brazil",""
"1733246192-54","https://en.wikipedia.org/wiki/List_of_airline_codes","","TTN","Absolute Flight Services","TITANIUM","South Africa",""
"1733246192-55","https://en.wikipedia.org/wiki/List_of_airline_codes","GB","ABX","ABX Air","ABEX","United States","August 15, 2003 Air operations of former Airborne Express"
"1733246192-56","https://en.wikipedia.org/wiki/List_of_airline_codes","","IAE","AC Insat-Aero","","Russia","defunct"
"1733246192-57","https://en.wikipedia.org/wiki/List_of_airline_codes","","NCL","ACA (Ancargo Air)","ANCARGO AIR","Angola","defunct"
"1733246192-58","https://en.wikipedia.org/wiki/List_of_airline_codes","","ACD","Academy Airlines","ACADEMY","United States",""
"1733246192-59","https://en.wikipedia.org/wiki/List_of_airline_codes","ZA","CYD","AccessAir","CYCLONE","United States","defunct"
"1733246192-60","https://en.wikipedia.org/wiki/List_of_airline_codes","","","Ace Air","ACE TAXI","South Korea","defunct as of September 2015"
"1733246192-61","https://en.wikipedia.org/wiki/List_of_airline_codes","","CFM","ACEF","ACEF","Portugal","Transportes Aéreos e Cargas, code no longer allocated"
"1733246192-62","https://en.wikipedia.org/wiki/List_of_airline_codes","","ARO","Acero Taxi","ACERO","Mexico",""
"1733246192-63","https://en.wikipedia.org/wiki/List_of_airline_codes","VX","AES","ACES Colombia","ACES","Colombia","defunct"
"1733246192-64","https://en.wikipedia.org/wiki/List_of_airline_codes","","BVR","ACM Air Charter","BAVARIAN","Germany",""
"1733246192-65","https://en.wikipedia.org/wiki/List_of_airline_codes","","BJT","ACM Aviation","BAY JET","United States",""
"1733246192-66","https://en.wikipedia.org/wiki/List_of_airline_codes","","CRV","Acropolis Aviation","ACROPOLIS","United Kingdom",""
"1733246192-67","https://en.wikipedia.org/wiki/List_of_airline_codes","","ORS","Action Air","AVIATION SERVICE","Italy","ICAO Code no longer allocated, defunct"
"1733246192-68","https://en.wikipedia.org/wiki/List_of_airline_codes","","AXQ","Action Airlines (Action Air Charter)","ACTION AIR","United States",""
"1733246192-69","https://en.wikipedia.org/wiki/List_of_airline_codes","","AVR","Active Aero Charter, Inc.","ACTIVE AERO","United States",""
"1733246192-70","https://en.wikipedia.org/wiki/List_of_airline_codes","","RRM","Acvila Air-Romanian Carrier","AIR ROMANIA","Romania","defunct"
"1733246192-71","https://en.wikipedia.org/wiki/List_of_airline_codes","","ADC","AD Astra Executive Charter","AD ASTRA","Poland",""
"1733246192-72","https://en.wikipedia.org/wiki/List_of_airline_codes","","VUE","AD Aviation","FLIGHTVUE","United Kingdom",""
"1733246192-73","https://en.wikipedia.org/wiki/List_of_airline_codes","","ADE","Ada Air","ADA AIR","Albania","defunct, former IATA code: ZY"
"1733246192-74","https://en.wikipedia.org/wiki/List_of_airline_codes","KI","DHI","Adam Air","ADAM SKY","Indonesia","defunct"
"1733246192-75","https://en.wikipedia.org/wiki/List_of_airline_codes","Z7*","ADK","ADC Airlines","ADCO","Nigeria","defunct; former name: Aviation Development Company"
"1733246192-76","https://en.wikipedia.org/wiki/List_of_airline_codes","","ADW","ADC Airways","","Lebanon","defunct"
"1733246192-77","https://en.wikipedia.org/wiki/List_of_airline_codes","","DSC","Addis Air Cargo Services","ADDIS CARGO","Ethiopia",""
"1733246192-78","https://en.wikipedia.org/wiki/List_of_airline_codes","","DDS","Addis Airlines","ADDIS LINE","Ethiopia","DEFUNCT"
"1733246192-79","https://en.wikipedia.org/wiki/List_of_airline_codes","","ADF","Ade, Aviación Deportiva","ADE AVIACION","Spain",""
"1733246192-80","https://en.wikipedia.org/wiki/List_of_airline_codes","","TEC","ADI Shuttle Group","TECHJET","United States",""
"1733246192-81","https://en.wikipedia.org/wiki/List_of_airline_codes","","SWH","Adler Aviation","SHOCKWAVE","Canada",""
"1733246192-82","https://en.wikipedia.org/wiki/List_of_airline_codes","JP","ADR","Adria Airways","ADRIA","Slovenia","defunct as of September 2019"
"1733246192-83","https://en.wikipedia.org/wiki/List_of_airline_codes","","DRO","Adro Servicios Aereos","ADRO SERVICIOS","Mexico",""
"1733246192-84","https://en.wikipedia.org/wiki/List_of_airline_codes","","ADV","Advance Air Charters","ADVANCE","Canada","defunct"
"1733246192-85","https://en.wikipedia.org/wiki/List_of_airline_codes","","AXX","Advance Air Luftfahrtgesellschaft","SKY SHUTTLE","Germany",""
"1733246192-86","https://en.wikipedia.org/wiki/List_of_airline_codes","","AAX","Advance Aviation","ADVANCE AVIATION","Thailand",""
"1733246192-87","https://en.wikipedia.org/wiki/List_of_airline_codes","","XTJ","Advance Aviation Services","","United States",""
"1733246192-88","https://en.wikipedia.org/wiki/List_of_airline_codes","4G*","","Advance Leasing Company","","United States",""
"1733246192-89","https://en.wikipedia.org/wiki/List_of_airline_codes","AN","WSN","Advanced Air","WINGSPAN","United States","2015[2]"
