CODE,MFR,MODEL,TYPE-ENG,NO-ENG,NO-SEATS,N-NUMBER,YEAR MFR,NAME
05628NI,BOEING                        ,787-8               ,5,2,260,7874 ,2010,BOEING CO                                         
05628NI,BOEING                        ,787-8               ,5,2,260,787BX,2010,BOEING CO                                         
05628NI,BOEING                        ,787-8               ,5,2,260,791AV,2016,BANK OF UTAH TRUSTEE                              
05628NI,BOEING                        ,787-8               ,5,2,260,877BF,2022,WILMINGTON TRUST CO TRUSTEE                       
05628NI,BOEING                        ,787-8               ,5,2,260,884AA,2022,WILMINGTON TRUST CO TRUSTEE                       
056378M,BOEING                        ,777-9               ,5,2,130,779PV,    ,BOEING CO                                         
056378M,BOEING                        ,777-9               ,5,2,130,779XW,2019,BOEING COMPANY                                    
056378M,BOEING                        ,777-9               ,5,2,130,779XX,2020,BOEING CO                                         
056378M,BOEING                        ,777-9               ,5,2,130,779XY,2020,BOEING CO                                         
056378M,BOEING                        ,777-9               ,5,2,130,779XZ,2020,BOEING CO                                         
138004P,BOEING                        ,727-2K5             ,4,3,162,909PG,1979,ARGENJET AIR LEASE INC                            
1380650,BOEING                        ,B777-200ER          ,5,2,273,285AV,    ,BANK OF UTAH TRUSTEE                              
1382526,BOEING                        ,737-66N             ,5,2,149,273RH,2003,DEPARTMENT OF THE AIR FORCE (USAF)                
1382526,BOEING                        ,737-66N             ,5,2,149,288DP,    ,DEPARTMENT OF THE AIR FORCE (USAF)                
1382526,BOEING                        ,737-66N             ,5,2,149,319BD,2001,DEPARTMENT OF THE AIR FORCE                       
1382526,BOEING                        ,737-66N             ,5,2,149,365SR,2003,DEPARTMENT OF THE AIRFORCE (USAF)                 
1382526,BOEING                        ,737-66N             ,5,2,149,859WP,2001,DEPARTMENT OF THE AIRFORCE                        
1382526,BOEING                        ,737-66N             ,5,2,149,869HH,2001,DEPARTMENT OF THE AIR FORCE (USAF)                
1382530,BOEING                        ,737-8DV             ,5,2,149,908BH,2001,BANK OF UTAH TRUSTEE                              
1382532,BOEING                        ,737-46J             ,5,2,190,468VX,    ,V68A-734 LLC                                      
1383601,BOEING                        ,707-368C            ,5,4,192,707MQ,1977,AIRCRAFT ENDEAVORS LLC                            
138360T,BOEING                        ,707-138B            ,4,4,192,707JT,1964,HISTORICAL AIRCRAFT RESTORATION SOCIETY LLC       
1383610,BOEING                        ,707-3K1C            ,5,4,195,707GF,1974,AIRCRAFT ENDEAVORS LLC                            
138366B,BOEING                        ,707-321B            ,5,4,192,454PC,    ,OMEGA AIR INC                                     
138366C,BOEING                        ,707-323B            ,4,4,192,706PC,    ,OMEGA AIR INC                                     
138366M,BOEING                        ,707-351B            ,4,4,192,707CA,    ,OMEGA AIR INC                                     
138367N,BOEING                        ,707-338C            ,5,4,192,623RH,    ,OMEGA AIR INC                                     
138367N,BOEING                        ,707-338C            ,5,4,192,624RH,1968,OMEGA AIR INC                                     
1383706,BOEING                        ,707-3L6B            ,4,4,189,707BN,    ,OMEGA AIR INC                                     
1384002,BOEING                        ,727-22              ,4,3,134,7001U,1963,MUSEUM OF FLIGHT FOUNDATION                       
138400A,BOEING                        ,727-17              ,4,3,134,311AG,1971,GETTY GORDON P                                    
1384012,BOEING                        ,727-35              ,4,3,134,706JP,1967,KALITTA EQUIPMENT LLC                             
1384054,BOEING                        ,727-2U5             ,4,3,170,531BN,    ,ANTARES LEAR JET LLC                              
1384057,BOEING                        ,727-2Y4             ,4,3,170,621AZ,    ,SALE REPORTED                                     
1384060,BOEING                        ,727-200F            ,4,3,189,722LA,    ,LOGISTIC AIR INC                                  
1384071,BOEING                        ,727-221             ,4,3,134,728CK,1982,KALITTA EQUIPMENT LLC                             
1384074,BOEING                        ,727-223             ,5,3,134,104HR,    ,XYREC INC                                         
1384074,BOEING                        ,727-223             ,5,3,134,165TS,    ,BANK OF UTAH TRUSTEE                              
1384074,BOEING                        ,727-223             ,5,3,134,209TR,1976,CAREER AVIATION CO INC                            
1384074,BOEING                        ,727-223             ,5,3,134,289MT,1981,RAYTHEON CO                                       
1384074,BOEING                        ,727-223             ,5,3,134,708AA,1981,WORLD AVIATION SERVICES LLC                       
1384074,BOEING                        ,727-223             ,5,3,134,726US,1981,USA JET AIRLINES INC                              
1384074,BOEING                        ,727-223             ,5,3,134,727US,1981,USA JET AIRLINES INC                              
1384074,BOEING                        ,727-223             ,5,3,134,752DH,1981,KALITTA CHARTERS II LLC                           
1384074,BOEING                        ,727-223             ,5,3,134,874AA,1978,ANTARES AVIATION LLC                              
1384076,BOEING                        ,727-224             ,4,3,134,725CK,1980,KALITTA CHARTERS II LLC                           
1384077,BOEING                        ,727-225             ,4,3,134,353PA,    ,AERSALE INC                                       
1384077,BOEING                        ,727-225             ,4,3,134,724CK,1971,KALITTA CHARTERS II LLC                           
1384078,BOEING                        ,727-227             ,4,3,134,164TS,    ,BANK OF UTAH TRUSTEE                              
1384078,BOEING                        ,727-227             ,4,3,134,422BN,1973,ANTARES AVIATION LLC                              
1384078,BOEING                        ,727-227             ,4,3,134,438BN,1975,ANTARES AVIATION LLC                              
1384078,BOEING                        ,727-227             ,4,3,134,794AJ,1976,ZERO GRAVITY CORP                                 
138407E,BOEING                        ,727-200             ,4,3,134,720CK,1977,KALITTA CHARTERS II LLC                           
138407G,BOEING                        ,727-212             ,4,3,170,727NK,1979,ANTARES AVIATION LLC                              
138407H,BOEING                        ,727-2H3             ,4,3,134,722CK,1974,KALITTA CHARTERS II LLC                           
138407H,BOEING                        ,727-2H3             ,4,3,134,723CK,1972,KALITTA CHARTERS II LLC                           
138407S,BOEING                        ,727-2M7             ,4,3,131,726CK,1980,KALITTA CHARTERS II LLC                           
1384080,BOEING                        ,727-230             ,4,3,134,727YK,    ,FAYAKA AIRWAYS LLC                                
1384081,BOEING                        ,727-2S2F            ,4,3,124,215WE,1984,INTERNATIONAL TRADING COMPANY OF YUKON INC        
1384081,BOEING                        ,727-2S2F            ,4,3,124,216WE,1984,INTERNATIONAL TRADING COMPANY OF YUKON INC        
1384082,BOEING                        ,727-232             ,4,3,154,502DA,1977,DODSON INTERNATIONAL PARTS INC                    
138408D,BOEING                        ,727-243             ,4,3,189,615PA,1976,727X AEROSPACE CORP                               
138408F,BOEING                        ,727-247             ,4,3,134,2819W,1975,DODSON INTERNATIONAL PARTS INC                    
138408M,BOEING                        ,727-264             ,4,3,134,729CK,1982,KALITTA CHARTERS II LLC                           
138408N,BOEING                        ,727-281             ,4,3,134,281FL,1978,INTERNATIONAL TRADING CO OF YUKON                 
13843FZ,BOEING                        ,737-7               ,5,2,138,7207Z,    ,BOEING CO                                         
13843FZ,BOEING                        ,737-7               ,5,2,138,7208U,    ,BOEING CO                                         
13843FZ,BOEING                        ,737-7               ,5,2,138,7209U,    ,BOEING CO                                         
13843FZ,BOEING                        ,737-7               ,5,2,138,7210U,    ,BOEING CO                                         
13843FZ,BOEING                        ,737-7               ,5,2,138,7211U,    ,BOEING CO                                         
13843FZ,BOEING                        ,737-7               ,5,2,138,7212Z,    ,BOEING CO                                         
13843FZ,BOEING                        ,737-7               ,5,2,138,7213U,    ,BOEING CO                                         
13843FZ,BOEING                        ,737-7               ,5,2,138,7214U,    ,BOEING CO                                         
13843FZ,BOEING                        ,737-7               ,5,2,138,7217U,    ,BOEING CO                                         
13843FZ,BOEING                        ,737-7               ,5,2,138,7218U,    ,BOEING CO                                         
13843FZ,BOEING                        ,737-7               ,5,2,138,7220Z,    ,BOEING CO                                         
13843FZ,BOEING                        ,737-7               ,5,2,138,7223U,    ,BOEING CO                                         
13843FZ,BOEING                        ,737-7               ,5,2,138,7224X,    ,BOEING CO                                         
13843FZ,BOEING                        ,737-7               ,5,2,138,7226U,    ,BOEING CO                                         
13843FZ,BOEING                        ,737-7               ,5,2,138,7227R,    ,BOEING CO                                         
13843FZ,BOEING                        ,737-7               ,5,2,138,7228R,    ,BOEING CO                                         
13843FZ,BOEING                        ,737-7               ,5,2,138,7229U,    ,BOEING CO                                         
13843FZ,BOEING                        ,737-7               ,5,2,138,7230U,    ,BOEING CO                                         
13843FZ,BOEING                        ,737-7               ,5,2,138,7300Z,    ,BOEING CO                                         
1384403,BOEING                        ,737-5YO             ,5,2,142,735X ,1992,DYNAMIC AVLEASE INC                               
1384403,BOEING                        ,737-5YO             ,5,2,142,735Z ,1990,DYNAMIC AVLEASE INC                               
1384404,BOEING                        ,737-7H4             ,5,2,140,200WN,2005,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,201LV,2005,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,202WN,2005,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,203WN,2005,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,204WN,2005,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,205WN,2005,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,206WN,2005,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,207WN,2005,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,208WN,2005,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,209WN,2005,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,210WN,2005,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,211WN,2005,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,212WN,2005,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,213WN,2005,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,214WN,2005,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,215WN,2005,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,216WR,2005,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,217JC,2005,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,218WN,2005,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,219WN,2005,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,220WN,2005,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,221WN,2005,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,222WN,2005,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,223WN,2005,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,224WN,2005,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,225WN,2005,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,226WN,2005,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,227WN,2005,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,228WN,2005,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,229WN,2006,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,230WN,2006,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,231WN,2006,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,232WN,2006,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,233LV,2006,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,234WN,2006,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,235WN,2006,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,236WN,2006,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,237WN,2006,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,238WN,2005,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,239WN,2006,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,240WN,2006,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,241WN,2006,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,242WN,2006,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,243WN,2006,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,244WN,2006,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,245WN,2006,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,246LV,2006,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,247WN,2006,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,248WN,2006,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,249WN,2006,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,250WN,2006,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,251WN,2006,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,252WN,2006,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,253WN,2006,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,254WN,2006,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,255WN,2006,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,256WN,2006,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,257WN,2006,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,258WN,2006,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,259WN,2006,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,260WN,2006,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,261WN,2006,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,262WN,2006,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,263WN,2007,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,264LV,2007,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,265WN,2007,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,266WN,2007,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,267WN,2007,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,268WN,2007,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,269WN,2007,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,272WN,2007,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,273WN,2007,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,274WN,2007,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,275WN,2007,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,276WN,2007,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,277WN,2007,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,278WN,2007,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,279WN,2007,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,280WN,2007,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,281WN,2007,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,282WN,2007,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,283WN,2007,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,284WN,2007,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,285WN,2007,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,286WN,2004,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,287WN,2007,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,288WN,2007,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,289CT,2007,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,290WN,2007,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,291WN,2007,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,292WN,2007,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,293WN,2007,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,294WN,2007,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,295WN,2007,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,296WN,2007,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,297WN,2007,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,298WN,2007,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,299WN,    ,SOUTHWEST AIRLINES CO                             
1384404,BOEING                        ,737-7H4             ,5,2,140,400WN,2001,SOUTHWEST AIRLINES CO                             
