code,name,time_zone,city,state,iso_code,country_name
AAA,Anaa,Pacific/Tahiti,,,PF,French Polynesia
AAB,Arrabury Airport,Australia/Brisbane,Tanbar,Queensland,AU,Australia
AAC,El Arish International Airport,Africa/Cairo,Arish,Muhafazat Shamal Sina',EG,Egypt
AAD,Adado Airport,Africa/Khartoum,Adado,,SO,Somalia
AAE,Les Salines Airport,Africa/Algiers,El Hadjar,Annaba,DZ,Algeria
AAF,Apalachicola Regional,America/New_York,Apalachicola,Florida,US,United States
AAG,Arapoti,America/Sao_Paulo,Jaguariaiva,Parana,BR,Brazil
AAH,Aachen/Merzbruck,Europe/Berlin,,,DE,Germany
AAI,Arraias,America/Araguaina,Campos Belos,Goias,BR,Brazil
AAJ,Cayana Airstrip,America/Paramaribo,Kajana,Sipaliwini,SR,Suriname
AAK,Aranuka,Pacific/Tarawa,,,KI,Kiribati
AAL,Aalborg Airport,Europe/Copenhagen,Vadum,North Denmark,DK,Denmark
AAM,Mala Mala,Africa/Johannesburg,,,ZA,South Africa
AAN,Al Ain Airport,Asia/Dubai,,,AE,United Arab Emirates
AAO,Anaco,America/Caracas,Anaco,Anzoategui,VE,Venezuela
AAP,Andrau Airpark,America/Chicago,,,US,United States
AAQ,Anapa Airport,Europe/Moscow,Anapa,Krasnodarskiy,RU,Russia
AAR,Aarhus Airport,Europe/Copenhagen,Ebeltoft,Central Jutland,DK,Denmark
AAS,Apalapsili,Asia/Jayapura,,,ID,Indonesia
AAT,Altay Airport,Asia/Urumqi,Awiytan,Xinjiang Uygur Zizhiqu,CN,China
AAU,Asau,Pacific/Apia,Asau,Vaisigano,WS,Samoa
AAV,Allah Valley,Asia/Manila,Surallah,South Cotabato,PH,Philippines
AAW,Abbottabad,Asia/Karachi,Abbottabad,Khyber Pakhtunkhwa,PK,Pakistan
AAX,Araxa Airport,America/Sao_Paulo,Araxa,Minas Gerais,BR,Brazil
AAY,Al Ghaydah,Asia/Aden,Al Ghayzah,Al Mahrah,YE,Yemen
